type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
verbe;A1;;anfangen;commencer;to start, to begin;Ich fange die Arbeit an.;Je commence le travail.;I am starting the work.
verbe;A1;;aufhören;arrêter;to stop;Ich höre um fünf Uhr mit der Arbeit auf.;Je termine le travail à cinq heures.;I stop working at five o'clock.
verbe;A1;;aufstehen;se lever;to get up;Ich stehe um sieben Uhr auf.;Je me lève à sept heures.;I get up at seven o'clock.
verbe;A1;;anziehen;mettre (un vêtement);to put on (clothing);Ich ziehe eine Jacke an.;Je mets une veste.;I put on a jacket.
verbe;A1;;ausziehen;enlever (un vêtement), déménager;to take off (clothing), to move out;Ich ziehe meine Schuhe aus.;J'enlève mes chaussures.;I take off my shoes.
verbe;A1;;einkaufen;faire les courses;to shop, to go grocery shopping;Ich kaufe samstags ein.;Je fais les courses le samedi.;I go shopping on Saturdays.
verbe;A1;;fernsehen;regarder la télévision;to watch television;Ich sehe abends gern fern.;J'aime bien regarder la télévision le soir.;I like watching TV in the evening.
verbe;A1;;abholen;aller chercher (quelqu'un);to pick up (someone);Ich hole dich am Bahnhof ab.;Je viens te chercher à la gare.;I'll pick you up at the station.
verbe;A1;;anrufen;appeler (au téléphone);to call (on the phone);Ich rufe meine Mutter an.;J'appelle ma mère.;I call my mother.
verbe;A1;;mitbringen;apporter;to bring (along);Ich bringe dir einen Kuchen mit.;Je t'apporte un gâteau.;I am bringing you a cake.
verbe;A1;;vorbereiten;préparer;to prepare;Ich bereite das Abendessen vor.;Je prépare le dîner.;I am preparing dinner.
verbe;A1;;aufräumen;ranger;to tidy up;Ich räume mein Zimmer auf.;Je range ma chambre.;I am tidying my room.
verbe;A1;;schwimmen;nager;to swim;Im Sommer schwimme ich jeden Tag.;En été, je nage tous les jours.;In summer I swim every day.
verbe;A1;;rauchen;fumer;to smoke;Hier darf man nicht rauchen.;Il est interdit de fumer ici.;You may not smoke here.
verbe;A1;;aufmachen;ouvrir;to open;Mach bitte das Fenster auf.;Ouvre la fenêtre, s'il te plaît.;Please open the window.
verbe;A1;;zumachen;fermer;to close;Mach bitte die Tür zu.;Ferme la porte, s'il te plaît.;Please close the door.
verbe;A1;;schauen;regarder;to look;Schau mal aus dem Fenster!;Regarde par la fenêtre !;Look out of the window!
verbe;A1;;zählen;compter;to count;Das Kind zählt schon bis zwanzig.;L'enfant compte déjà jusqu'à vingt.;The child can already count to twenty.
verbe;A1;;weggehen;partir, s'en aller;to leave, to go away;Ich gehe jetzt weg, bis später!;Je m'en vais maintenant, à plus tard !;I'm leaving now, see you later!
verbe;A1;;abfahren;partir (véhicule);to depart;Der Zug fährt um acht Uhr ab.;Le train part à huit heures.;The train departs at eight.
verbe;A1;;sich setzen;s'asseoir;to sit down;Ich setze mich auf den Stuhl.;Je m'assois sur la chaise.;I sit down on the chair.
verbe;A1;;entschuldigen;excuser (qn, qch);to excuse;Die Lehrerin entschuldigt sein Fehlen.;La professeure excuse son absence.;The teacher excuses his absence.
verbe;A2;;sich freuen;se réjouir;to be happy, to look forward to;Ich freue mich auf die Ferien.;Je me réjouis des vacances.;I'm looking forward to the holidays.
verbe;A2;;sich ärgern;s'énerver;to get annoyed;Ich ärgere mich über den Stau.;Je m'énerve à cause des embouteillages.;I get annoyed about the traffic jam.
verbe;A2;;sich beeilen;se dépêcher;to hurry;Ich beeile mich, weil der Bus gleich kommt.;Je me dépêche parce que le bus arrive bientôt.;I'm hurrying because the bus is coming soon.
verbe;A2;;sich entscheiden;se décider;to decide;Ich entscheide mich für das blaue Kleid.;Je me décide pour la robe bleue.;I'm deciding on the blue dress.
verbe;A2;;sich verspäten;être en retard;to be late;Ich verspäte mich heute ein bisschen.;Je suis un peu en retard aujourd'hui.;I'm a bit late today.
verbe;A2;;sich verlieben;tomber amoureux;to fall in love;Ich verliebe mich in ihn.;Je tombe amoureux de lui.;I am falling in love with him.
verbe;A2;;sich vorstellen;s'imaginer, se présenter;to imagine, to introduce oneself;Ich stelle mir das schwierig vor.;Je m'imagine que c'est difficile.;I imagine that's difficult.
verbe;A2;;sich anmelden;s'inscrire;to register, to sign up;Ich melde mich für den Kurs an.;Je m'inscris au cours.;I'm signing up for the course.
verbe;A2;;sich abmelden;se désinscrire;to unregister;Ich melde mich vom Kurs ab.;Je me désinscris du cours.;I'm unregistering from the course.
verbe;A2;;sich entschuldigen;s'excuser;to apologize;Ich entschuldige mich für die Verspätung.;Je m'excuse pour le retard.;I apologize for being late.
verbe;A2;;sich beschweren;se plaindre;to complain;Ich beschwere mich über den Service.;Je me plains du service.;I complain about the service.
verbe;A2;;sich unterhalten;discuter;to chat, to converse;Wir unterhalten uns mit den Nachbarn.;Nous discutons avec les voisins.;We are talking with the neighbors.
verbe;A2;;sich verabreden;se donner rendez-vous;to arrange to meet;Ich verabrede mich mit Freunden.;Je me donne rendez-vous avec des amis.;I'm arranging to meet with friends.
verbe;A2;;sich verabschieden;dire au revoir;to say goodbye;Ich verabschiede mich von meinen Kollegen.;Je dis au revoir à mes collègues.;I'm saying goodbye to my colleagues.
verbe;A2;;sich interessieren;s'intéresser;to be interested;Ich interessiere mich für Musik.;Je m'intéresse à la musique.;I'm interested in music.
verbe;A2;;sich konzentrieren;se concentrer;to concentrate;Ich konzentriere mich auf die Arbeit.;Je me concentre sur le travail.;I'm concentrating on the work.
verbe;A2;;sich ausruhen;se reposer;to rest;Ich ruhe mich am Wochenende aus.;Je me repose le week-end.;I rest on the weekend.
verbe;A2;;sich verletzen;se blesser;to get hurt, to get injured;Ich verletze mich beim Sport oft.;Je me blesse souvent en faisant du sport.;I often get hurt playing sports.
verbe;A2;;sich verändern;changer;to change;Die Stadt verändert sich schnell.;La ville change vite.;The city is changing quickly.
verbe;A2;;wechseln;changer;to change, to switch;Ich wechsle den Job.;Je change de travail.;I'm changing jobs.
verbe;A2;;verbessern;améliorer;to improve;Ich verbessere mein Deutsch.;J'améliore mon allemand.;I'm improving my German.
verbe;A2;;vergleichen;comparer;to compare;Ich vergleiche die Preise.;Je compare les prix.;I'm comparing the prices.
verbe;A2;;verlieren;perdre;to lose;Ich verliere oft meine Schlüssel.;Je perds souvent mes clés.;I often lose my keys.
verbe;A2;;gewinnen;gagner;to win;Unsere Mannschaft gewinnt das Spiel.;Notre équipe gagne le match.;Our team wins the game.
verbe;A2;;verlassen;quitter;to leave;Ich verlasse morgen die Stadt.;Je quitte la ville demain.;I'm leaving the city tomorrow.
verbe;A2;;erreichen;atteindre;to reach;Ich erreiche mein Ziel.;J'atteins mon objectif.;I'm reaching my goal.
verbe;A2;;erwarten;attendre, s'attendre à;to expect;Ich erwarte eine Antwort.;J'attends une réponse.;I'm expecting an answer.
verbe;A2;;entdecken;découvrir;to discover;Ich entdecke gern neue Orte.;J'aime découvrir de nouveaux endroits.;I like discovering new places.
verbe;A2;;entwickeln;développer;to develop;Die Firma entwickelt eine neue App.;L'entreprise développe une nouvelle application.;The company is developing a new app.
verbe;A2;;entstehen;naître, se former;to arise, to be created;Hier entsteht ein neues Gebäude.;Un nouveau bâtiment est en train de naître ici.;A new building is being built here.
verbe;A2;;entfernen;enlever;to remove;Ich entferne den Fleck.;J'enlève la tache.;I'm removing the stain.
verbe;A2;;entscheiden;décider;to decide;Der Chef entscheidet den Fall allein.;Le patron décide de l'affaire seul.;The boss decides the matter alone.
verbe;A2;;beeindrucken;impressionner;to impress;Das Konzert beeindruckt mich sehr.;Le concert m'impressionne beaucoup.;The concert impresses me a lot.
verbe;A2;;beeinflussen;influencer;to influence;Das Wetter beeinflusst meine Laune.;Le temps influence mon humeur.;The weather influences my mood.
verbe;A2;;beobachten;observer;to observe;Ich beobachte die Vögel.;J'observe les oiseaux.;I'm observing the birds.
verbe;A2;;bemerken;remarquer;to notice;Ich bemerke den Unterschied sofort.;Je remarque la différence tout de suite.;I notice the difference right away.
verbe;A2;;besitzen;posséder;to own, to possess;Ich besitze ein altes Auto.;Je possède une vieille voiture.;I own an old car.
verbe;A2;;bestellen;commander;to order;Ich bestelle eine Pizza.;Je commande une pizza.;I'm ordering a pizza.
verbe;A2;;bestehen;réussir, consister;to pass (an exam), to consist of;Ich bestehe die Prüfung.;Je réussis l'examen.;I'm passing the exam.
verbe;A2;;bestimmen;déterminer;to determine;Ich bestimme den Termin.;Je détermine la date.;I'm determining the date.
verbe;A2;;betreten;entrer dans;to enter;Ich betrete den Raum.;J'entre dans la pièce.;I'm entering the room.
verbe;A2;;betreuen;s'occuper de;to take care of, to look after;Ich betreue die neuen Mitarbeiter.;Je m'occupe des nouveaux employés.;I'm looking after the new employees.
verbe;A2;;beurteilen;juger;to judge, to assess;Ich beurteile die Lage realistisch.;Je juge la situation de façon réaliste.;I assess the situation realistically.
verbe;A2;;bewegen;bouger;to move;Ich bewege den Stuhl.;Je déplace la chaise.;I move the chair.
verbe;A2;;sich bewerben;postuler;to apply;Ich bewerbe mich um die Stelle.;Je postule pour le poste.;I'm applying for the position.
verbe;A2;;bezeichnen;désigner;to designate, to call;Man bezeichnet ihn als Experten.;On le désigne comme expert.;He is called an expert.
verbe;A2;;buchen;réserver;to book;Ich buche einen Flug.;Je réserve un vol.;I'm booking a flight.
verbe;A2;;dauern;durer;to last;Der Film dauert zwei Stunden.;Le film dure deux heures.;The movie lasts two hours.
verbe;A2;;diskutieren;discuter;to discuss;Wir diskutieren über Politik.;Nous discutons de politique.;We're discussing politics.
verbe;A2;;drehen;tourner;to turn;Ich drehe den Schlüssel um.;Je tourne la clé.;I'm turning the key.
verbe;A2;;drucken;imprimer;to print;Ich drucke das Dokument.;J'imprime le document.;I'm printing the document.
verbe;A2;;drücken;appuyer, presser;to press, to push;Ich drücke den Knopf.;J'appuie sur le bouton.;I press the button.
verbe;A2;;einladen;inviter;to invite;Ich lade dich zum Essen ein.;Je t'invite à manger.;I'm inviting you to eat.
verbe;A2;;einsteigen;monter (dans un véhicule);to get in, to board;Ich steige in den Bus ein.;Je monte dans le bus.;I'm getting on the bus.
verbe;A2;;aussteigen;descendre (d'un véhicule);to get off, to get out;Ich steige aus dem Bus aus.;Je descends du bus.;I get off the bus.
verbe;A2;;umsteigen;changer (de train, bus);to change, to transfer (train, bus);Ich steige in München um.;Je change à Munich.;I'm changing in Munich.
verbe;A2;;empfehlen;recommander;to recommend;Ich empfehle dir dieses Restaurant.;Je te recommande ce restaurant.;I recommend this restaurant to you.
verbe;A2;;enthalten;contenir;to contain;Das Getränk enthält Zucker.;La boisson contient du sucre.;The drink contains sugar.
verbe;A2;;sich entspannen;se détendre;to relax;Ich entspanne mich am Wochenende.;Je me détends le week-end.;I relax on the weekend.
verbe;A2;;erfahren;apprendre (une info);to learn, to find out;Ich erfahre die Neuigkeiten spät.;J'apprends les nouvelles tard.;I find out the news late.
verbe;A2;;erfinden;inventer;to invent;Er erfindet gute Ausreden.;Il invente de bonnes excuses.;He invents good excuses.
verbe;A2;;ergänzen;compléter;to complete, to add to;Ich ergänze die Liste.;Je complète la liste.;I'm completing the list.
verbe;A2;;erhalten;recevoir, conserver;to receive, to preserve;Ich erhalte eine E-Mail.;Je reçois un e-mail.;I'm receiving an email.
verbe;A2;;erhöhen;augmenter;to raise, to increase;Die Firma erhöht die Preise.;L'entreprise augmente les prix.;The company is raising the prices.
verbe;A2;;erinnern;rappeler;to remind;Das erinnert mich an meine Kindheit.;Ça me rappelle mon enfance.;That reminds me of my childhood.
verbe;A2;;erkennen;reconnaître;to recognize;Ich erkenne ihn sofort.;Je le reconnais tout de suite.;I recognize him right away.
verbe;A2;;erledigen;régler, s'occuper de;to take care of, to handle;Ich erledige die Einkäufe.;Je fais les courses.;I'm doing the shopping.
verbe;A2;;ermöglichen;permettre;to enable, to make possible;Das Stipendium ermöglicht ihm das Studium.;La bourse lui permet de faire des études.;The scholarship makes the studies possible for him.
verbe;A2;;eröffnen;ouvrir, inaugurer;to open, to inaugurate;Wir eröffnen ein neues Geschäft.;Nous ouvrons un nouveau magasin.;We're opening a new store.
verbe;A2;;erscheinen;apparaître, paraître;to appear, to be published;Das Buch erscheint im Herbst.;Le livre paraît en automne.;The book comes out in the fall.
verbe;A2;;ersetzen;remplacer;to replace;Ich ersetze die alte Lampe.;Je remplace la vieille lampe.;I'm replacing the old lamp.
verbe;A2;;erwähnen;mentionner;to mention;Ich erwähne das kurz.;Je mentionne ça brièvement.;I mention that briefly.
verbe;A2;;existieren;exister;to exist;Diese Firma existiert seit 1990.;Cette entreprise existe depuis 1990.;This company has existed since 1990.
verbe;A2;;fehlen;manquer;to be missing, to lack;Du fehlst mir sehr.;Tu me manques beaucoup.;I miss you a lot.
verbe;A2;;feststellen;constater;to notice, to determine;Ich stelle einen Fehler fest.;Je constate une erreur.;I notice a mistake.
verbe;A2;;folgen;suivre;to follow;Ich folge dir auf Instagram.;Je te suis sur Instagram.;I follow you on Instagram.
verbe;A2;;fordern;exiger;to demand;Die Mitarbeiter fordern mehr Gehalt.;Les employés exigent plus de salaire.;The employees demand more salary.
verbe;A2;;fördern;encourager, promouvoir;to promote, to support;Die Schule fördert kreative Kinder.;L'école encourage les enfants créatifs.;The school supports creative children.
verbe;A2;;formulieren;formuler;to formulate, to phrase;Ich formuliere die Frage neu.;Je reformule la question.;I'm rephrasing the question.
verbe;A2;;fortsetzen;continuer;to continue;Wir setzen das Gespräch morgen fort.;Nous continuons la conversation demain.;We're continuing the conversation tomorrow.
verbe;A2;;funktionieren;fonctionner;to work, to function;Der Computer funktioniert nicht.;L'ordinateur ne fonctionne pas.;The computer doesn't work.
verbe;A2;;gehören;appartenir;to belong;Das Buch gehört mir.;Le livre m'appartient.;The book belongs to me.
verbe;A2;;gelingen;réussir (impersonnel);to succeed (impersonal);Der Kuchen gelingt mir immer.;Le gâteau me réussit toujours.;The cake always turns out well for me.
verbe;A2;;genießen;profiter de, savourer;to enjoy;Ich genieße die Sonne.;Je profite du soleil.;I'm enjoying the sun.
verbe;A2;;geschehen;se passer, arriver;to happen;Das geschieht oft.;Ça arrive souvent.;That happens often.
verbe;A2;;gestalten;concevoir, façonner;to design, to shape;Ich gestalte die Webseite neu.;Je reconçois le site web.;I'm redesigning the website.
verbe;A2;;sich gewöhnen;s'habituer;to get used to;Ich gewöhne mich an das Klima.;Je m'habitue au climat.;I'm getting used to the climate.
verbe;A2;;gratulieren;féliciter;to congratulate;Ich gratuliere dir zum Geburtstag.;Je te félicite pour ton anniversaire.;I congratulate you on your birthday.
verbe;A2;;handeln;agir;to act;Ich handle sofort.;J'agis tout de suite.;I act right away.
verbe;A2;;herausfinden;découvrir, tirer au clair;to find out;Ich finde die Wahrheit heraus.;Je découvre la vérité.;I'm finding out the truth.
verbe;A2;;herstellen;fabriquer;to manufacture, to produce;Die Firma stellt Autos her.;L'entreprise fabrique des voitures.;The company manufactures cars.
verbe;A2;;hinweisen;signaler;to point out;Ich weise auf das Problem hin.;Je signale le problème.;I'm pointing out the problem.
verbe;A2;;hoffen;espérer;to hope;Ich hoffe auf gutes Wetter.;J'espère qu'il fera beau.;I'm hoping for good weather.
verbe;A2;;informieren;informer;to inform;Ich informiere dich über die Neuigkeiten.;Je t'informe des nouvelles.;I inform you about the news.
verbe;A2;;installieren;installer;to install;Ich installiere die App.;J'installe l'application.;I'm installing the app.
verbe;A2;;interessieren;intéresser;to interest;Das Thema interessiert mich.;Le sujet m'intéresse.;The topic interests me.
verbe;A2;;investieren;investir;to invest;Ich investiere Geld in Aktien.;J'investis de l'argent en actions.;I invest money in stocks.
verbe;A2;;klingen;sonner, avoir l'air;to sound;Das klingt gut.;Ça sonne bien.;That sounds good.
verbe;A2;;kontrollieren;contrôler;to check, to control;Ich kontrolliere die Tickets.;Je contrôle les billets.;I'm checking the tickets.
verbe;A2;;kritisieren;critiquer;to criticize;Er kritisiert oft meine Arbeit.;Il critique souvent mon travail.;He often criticizes my work.
verbe;A2;;sich kümmern;s'occuper de;to take care of;Ich kümmere mich um die Kinder.;Je m'occupe des enfants.;I take care of the children.
verbe;A2;;laden;charger;to load;Wir laden das Auto.;Nous chargeons la voiture.;We're loading the car.
verbe;A2;;landen;atterrir;to land;Das Flugzeug landet pünktlich.;L'avion atterrit à l'heure.;The plane lands on time.
verbe;A2;;lassen;laisser;to let, to leave;Ich lasse das Fenster offen.;Je laisse la fenêtre ouverte.;I'm leaving the window open.
verbe;A2;;leihen;prêter, emprunter;to lend, to borrow;Ich leihe dir mein Buch.;Je te prête mon livre.;I'm lending you my book.
verbe;A2;;leiten;diriger;to lead, to manage;Ich leite ein kleines Team.;Je dirige une petite équipe.;I lead a small team.
verbe;A2;;sich lohnen;valoir la peine;to be worth it;Das lohnt sich wirklich.;Ça vaut vraiment la peine.;That's really worth it.
verbe;A2;;lösen;résoudre;to solve;Ich löse das Problem.;Je résous le problème.;I'm solving the problem.
verbe;A2;;löschen;effacer, éteindre;to delete, to extinguish;Ich lösche die Datei.;J'efface le fichier.;I'm deleting the file.
verbe;A2;;markieren;marquer;to mark;Ich markiere den Text.;Je marque le texte.;I'm marking the text.
verbe;A2;;meinen;penser, vouloir dire;to mean, to think;Ich meine dich.;Je parle de toi.;I mean you.
verbe;A2;;melden;signaler;to report;Ich melde den Vorfall.;Je signale l'incident.;I'm reporting the incident.
verbe;A2;;merken;remarquer, retenir;to notice, to remember;Ich merke den Unterschied.;Je remarque la différence.;I notice the difference.
verbe;A2;;mieten;louer;to rent;Ich miete eine Wohnung.;Je loue un appartement.;I'm renting an apartment.
verbe;A2;;vermieten;louer (à quelqu'un);to rent out;Ich vermiete die Wohnung an Studenten.;Je loue l'appartement à des étudiants.;I rent the apartment to students.
verbe;A2;;nutzen;utiliser;to use;Ich nutze die Zeit gut.;J'utilise bien le temps.;I'm using the time well.
verbe;A2;;organisieren;organiser;to organize;Ich organisiere die Party.;J'organise la fête.;I'm organizing the party.
verbe;A2;;passieren;se passer, arriver;to happen;Das passiert oft.;Ça arrive souvent.;That happens often.
verbe;A2;;planen;planifier;to plan;Ich plane die Reise.;Je planifie le voyage.;I'm planning the trip.
verbe;A2;;prüfen;vérifier, examiner;to check, to examine;Ich prüfe die Rechnung.;Je vérifie la facture.;I'm checking the invoice.
verbe;A2;;rechnen;calculer;to calculate;Ich rechne die Kosten.;Je calcule les coûts.;I'm calculating the costs.
verbe;A2;;reagieren;réagir;to react;Ich reagiere schnell auf die Nachricht.;Je réagis vite au message.;I react quickly to the message.
verbe;A2;;reduzieren;réduire;to reduce;Ich reduziere meinen Konsum.;Je réduis ma consommation.;I'm reducing my consumption.
verbe;A2;;regnen;pleuvoir;to rain;Es regnet heute stark.;Il pleut fort aujourd'hui.;It's raining hard today.
verbe;A2;;reparieren;réparer;to repair;Ich repariere das Fahrrad.;Je répare le vélo.;I'm repairing the bike.
verbe;A2;;reservieren;réserver;to reserve;Ich reserviere einen Tisch.;Je réserve une table.;I'm reserving a table.
verbe;A2;;retten;sauver;to save, to rescue;Die Feuerwehr rettet die Katze.;Les pompiers sauvent le chat.;The fire department is rescuing the cat.
verbe;A2;;schaffen;réussir à faire, y arriver;to manage, to succeed;Ich schaffe das.;J'y arrive.;I can manage that.
verbe;A2;;scheinen;sembler, briller;to seem, to shine;Die Sonne scheint heute.;Le soleil brille aujourd'hui.;The sun is shining today.
verbe;A2;;schicken;envoyer;to send;Ich schicke dir ein Foto.;Je t'envoie une photo.;I'm sending you a photo.
verbe;A2;;schneiden;couper;to cut;Ich schneide das Brot.;Je coupe le pain.;I'm cutting the bread.
verbe;A2;;schützen;protéger;to protect;Ich schütze meine Haut vor der Sonne.;Je protège ma peau du soleil.;I'm protecting my skin from the sun.
verbe;A2;;sinken;baisser, couler;to sink, to drop;Die Preise sinken.;Les prix baissent.;Prices are dropping.
verbe;A2;;sorgen;s'occuper de, veiller à;to take care of, to see to it;Ich sorge für meine Familie.;Je m'occupe de ma famille.;I take care of my family.
verbe;A2;;spüren;ressentir;to feel, to sense;Ich spüre die Kälte.;Je ressens le froid.;I feel the cold.
verbe;A2;;steigen;monter, grimper;to climb, to rise;Die Preise steigen.;Les prix montent.;Prices are rising.
verbe;A2;;steigern;augmenter;to increase;Ich steigere meine Leistung.;J'augmente ma performance.;I'm increasing my performance.
verbe;A2;;stimmen;être exact, voter;to be correct, to vote;Das stimmt genau.;C'est exactement ça.;That's exactly right.
verbe;A2;;streiten;se disputer;to argue;Wir streiten oft mit den Nachbarn.;Nous nous disputons souvent avec les voisins.;We often argue with the neighbors.
verbe;A2;;teilen;partager, diviser;to share, to divide;Ich teile mein Essen.;Je partage mon repas.;I'm sharing my food.
verbe;A2;;telefonieren;téléphoner;to talk on the phone;Ich telefoniere mit meiner Mutter.;Je téléphone à ma mère.;I'm talking on the phone with my mother.
verbe;A2;;testen;tester;to test;Ich teste die neue App.;Je teste la nouvelle application.;I'm testing the new app.
verbe;A2;;träumen;rêver;to dream;Ich träume von einer Reise.;Je rêve d'un voyage.;I dream of a trip.
verbe;A2;;trennen;séparer;to separate;Ich trenne den Müll.;Je trie les déchets.;I'm sorting the trash.
verbe;A2;;überlegen;réfléchir;to think about, to consider;Ich überlege meine Optionen.;Je réfléchis à mes options.;I consider my options.
verbe;A2;;verbieten;interdire;to forbid;Die Schule verbietet uns Handys.;L'école nous interdit les téléphones.;The school forbids us cell phones.
verbe;A2;;erlauben;permettre;to allow;Meine Eltern erlauben mir das nicht.;Mes parents ne me le permettent pas.;My parents don't allow me that.
verbe;A2;;verzichten;renoncer;to give up, to do without;Ich verzichte auf Süßigkeiten.;Je renonce aux sucreries.;I'm giving up sweets.
verbe;A2;;vermeiden;éviter;to avoid;Ich vermeide Stress.;J'évite le stress.;I avoid stress.
verbe;A2;;widersprechen;contredire;to contradict;Ich widerspreche dir nicht.;Je ne te contredis pas.;I'm not contradicting you.
verbe;A2;;zeichnen;dessiner;to draw;Sie zeichnet jeden Abend ein wenig.;Elle dessine un peu chaque soir.;She draws a little every evening.
verbe;A2;;ziehen;tirer;to pull;Zieh bitte fester an dem Seil.;Tire plus fort sur la corde, s'il te plaît.;Please pull harder on the rope.
verbe;A2;;brechen;casser, briser;to break;Vorsicht, das Eis bricht leicht.;Attention, la glace casse facilement.;Careful, the ice breaks easily.
verbe;A2;;sterben;mourir;to die;Ohne Wasser sterben die Pflanzen.;Sans eau, les plantes meurent.;Without water the plants die.
verbe;A2;;springen;sauter;to jump;Der Hund springt über den Zaun.;Le chien saute par-dessus la clôture.;The dog jumps over the fence.
verbe;A2;;fangen;attraper;to catch;Der Torwart fängt den Ball sicher.;Le gardien attrape le ballon sans problème.;The goalkeeper catches the ball safely.
verbe;A2;;nennen;appeler, nommer;to call, to name;Alle nennen ihn nur Toni.;Tout le monde l'appelle simplement Toni.;Everyone just calls him Toni.
verbe;A2;;passen;aller (taille), convenir;to fit, to suit;Diese Hose passt mir nicht mehr.;Ce pantalon ne me va plus.;These trousers don't fit me any more.
verbe;A2;;anhalten;s'arrêter, arrêter;to stop;Bitte halten Sie an der nächsten Ecke an.;Arrêtez-vous au prochain coin, s'il vous plaît.;Please stop at the next corner.
verbe;A2;;umziehen;déménager;to move house;Im Mai ziehen wir nach Bremen um.;En mai, nous déménageons à Brême.;In May we're moving to Bremen.
verbe;A2;;küssen;embrasser;to kiss;Sie küsst ihre Kinder zum Abschied.;Elle embrasse ses enfants pour leur dire au revoir.;She kisses her children goodbye.
verbe;A2;;lügen;mentir;to lie;Er lügt, wenn er nervös ist.;Il ment quand il est nerveux.;He lies when he is nervous.
verbe;A2;;rennen;courir (vite);to run;Die Kinder rennen über den Hof.;Les enfants courent dans la cour.;The children are running across the yard.
verbe;A2;;bedeuten;signifier, vouloir dire;to mean;Was bedeutet dieses Wort?;Que signifie ce mot ?;What does this word mean?
verbe;A2;;beißen;mordre;to bite;Keine Angst, der Hund beißt nicht.;N'aie pas peur, le chien ne mord pas.;Don't worry, the dog doesn't bite.
verbe;A2;;fressen;manger (animal);to eat (of animals);Die Kuh frisst den ganzen Tag Gras.;La vache mange de l'herbe toute la journée.;The cow eats grass all day.
verbe;A2;;decken;"couvrir ; mettre (la table)";"to cover; to set (the table)";Deckst du bitte den Tisch?;Peux-tu mettre la table, s'il te plaît ?;Could you set the table, please?
verbe;A2;;stecken;"mettre, enfoncer ; être coincé";"to put, to stick; to be stuck";Steck den Schlüssel in die Tasche.;Mets la clé dans ta poche.;Put the key in your pocket.
verbe;A2;;ärgern;agacer, contrarier;to annoy;Der Lärm ärgert die Nachbarn.;Le bruit agace les voisins.;The noise annoys the neighbours.
verbe;A2;;vorstellen;présenter (qn, qch);to introduce, to present;Darf ich dir meine Schwester vorstellen?;Puis-je te présenter ma sœur ?;May I introduce my sister to you?
verbe;A2;;abbiegen;tourner (en chemin);to turn off;An der Ampel biegen Sie links ab.;Au feu, tournez à gauche.;Turn left at the traffic lights.
verbe;A2;;lüften;aérer;to air, to ventilate;Ich lüfte jeden Morgen das Schlafzimmer.;J'aère la chambre tous les matins.;I air the bedroom every morning.
verbe;A2;;sich treffen;se retrouver, se voir;to meet (up);Wir treffen uns um acht am Bahnhof.;Nous nous retrouvons à huit heures à la gare.;We're meeting at eight at the station.
verbe;A2;;sich anziehen;s'habiller;to get dressed;Ich ziehe mich schnell an.;Je m'habille vite.;I get dressed quickly.
verbe;A2;;sich ausziehen;se déshabiller;to get undressed;Die Kinder ziehen sich im Bad aus.;Les enfants se déshabillent dans la salle de bain.;The children get undressed in the bathroom.
verbe;A2;;sich umziehen;se changer (de vêtements);to get changed;Ich ziehe mich nach der Arbeit um.;Je me change après le travail.;I get changed after work.
verbe;A2;;sich fragen;se demander;to wonder;Ich frage mich, ob das stimmt.;Je me demande si c'est vrai.;I wonder whether that's true.
verbe;A2;;freuen;faire plaisir à, réjouir (qn);to please, to make happy;Deine Nachricht freut mich sehr.;Ta nouvelle me fait très plaisir.;Your message makes me very happy.
verbe;A2;;abgeben;remettre, rendre;to hand in;Ich gebe die Hausaufgabe beim Lehrer ab.;Je remets le devoir au professeur.;I hand in the homework to the teacher.
verbe;A2;;anmelden;inscrire (quelqu'un);to register (someone);Ich melde mein Kind für den Kurs an.;J'inscris mon enfant au cours.;I'm registering my child for the course.
verbe;A2;;ansehen;regarder;to look at;Er sieht mich freundlich an.;Il me regarde d'un air aimable.;He looks at me kindly.
verbe;A2;;ausfüllen;remplir (un formulaire);to fill in;Ich fülle das Formular aus.;Je remplis le formulaire.;I'm filling in the form.
verbe;A2;;ausgeben;dépenser;to spend;Ich gebe zu viel Geld für Kleidung aus.;Je dépense trop d'argent en vêtements.;I spend too much money on clothes.
verbe;A2;;ausmachen;éteindre;to turn off;Ich mache das Licht aus.;J'éteins la lumière.;I turn off the light.
verbe;A2;;backen;cuire au four, faire (un gâteau);to bake;Meine Mutter backt jeden Sonntag einen Kuchen.;Ma mère fait un gâteau tous les dimanches.;My mother bakes a cake every Sunday.
verbe;A2;;bauen;construire;to build;Sie bauen ein neues Haus.;Ils construisent une nouvelle maison.;They are building a new house.
verbe;A2;;beantworten;répondre à;to answer;Ich beantworte deine Frage gern.;Je réponds volontiers à ta question.;I'm happy to answer your question.
verbe;A2;;beenden;terminer;to finish;Wir beenden das Projekt im Mai.;Nous terminons le projet en mai.;We finish the project in May.
verbe;A2;;beraten;conseiller;to advise;Der Verkäufer berät die Kundin.;Le vendeur conseille la cliente.;The shop assistant advises the customer.
verbe;A2;;besichtigen;visiter (un lieu);to visit, to view;Wir besichtigen morgen das Schloss.;Nous visitons le château demain.;We're visiting the castle tomorrow.
verbe;A2;;bitten;demander, prier;to ask for;Ich bitte dich um Hilfe.;Je te demande de l'aide.;I'm asking you for help.
verbe;A2;;buchstabieren;épeler;to spell;Ich buchstabiere meinen Namen.;J'épelle mon nom.;I spell my name.
